file_path,file_name,split,class_name,species,width,height,aspect_ratio,mode,format,size_kb,is_valid
data\test\cat - bengal\Bengal_7_jpg.rf.703971997cb5ee5ef7cbb3ed1999da9d.jpg,Bengal_7_jpg.rf.703971997cb5ee5ef7cbb3ed1999da9d.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,14.611328125,True
data\test\cat - bengal\Bengal_94_jpg.rf.6a14558ed1e931260301075887939997.jpg,Bengal_94_jpg.rf.6a14558ed1e931260301075887939997.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,7.1708984375,True
data\test\cat - bengal\closeup-gold-bengal-cat-looking-260nw-506952265_jpg.rf.dec7cb39099db61c5ad3c3df83f2936c.jpg,closeup-gold-bengal-cat-looking-260nw-506952265_jpg.rf.dec7cb39099db61c5ad3c3df83f2936c.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,6.44921875,True
data\test\cat - bengal\closeup-portrait-group-adorable-breed-260nw-519288442_jpg.rf.6b1c518a3f0b727a881f1d5dba21d974.jpg,closeup-portrait-group-adorable-breed-260nw-519288442_jpg.rf.6b1c518a3f0b727a881f1d5dba21d974.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,9.3486328125,True
data\test\cat - bengal\depositphotos_71017333-stock-photo-bengal-cat_jpg.rf.e89542a8e2de3794ddd329d43170e43e.jpg,depositphotos_71017333-stock-photo-bengal-cat_jpg.rf.e89542a8e2de3794ddd329d43170e43e.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,5.685546875,True
data\test\cat - bengal\f4715f6dba32521cce85b686c8480224_jpg.rf.6facafa37d70a719a3396fca50f07a2d.jpg,f4715f6dba32521cce85b686c8480224_jpg.rf.6facafa37d70a719a3396fca50f07a2d.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,9.4248046875,True
data\test\cat - bengal\funny-beautiful-cute-bengal-cat-260nw-414398863_jpg.rf.6651acca53b97696f938b661682302f3.jpg,funny-beautiful-cute-bengal-cat-260nw-414398863_jpg.rf.6651acca53b97696f938b661682302f3.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,7.9140625,True
data\test\cat - bengal\little-bengal-kitty-laying-on-260nw-1717117273_jpg.rf.593f14930bba761ee3c1eb92aff6fa53.jpg,little-bengal-kitty-laying-on-260nw-1717117273_jpg.rf.593f14930bba761ee3c1eb92aff6fa53.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,9.6103515625,True
data\test\cat - bengal\little-cute-bengal-kitten-playing-260nw-1640508295_jpg.rf.916665d941fd1ba47e864af1acd9703e.jpg,little-cute-bengal-kitten-playing-260nw-1640508295_jpg.rf.916665d941fd1ba47e864af1acd9703e.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,7.755859375,True
data\test\cat - bengal\portrait-purebred-bengal-cat-on-260nw-112438160_jpg.rf.8390297246d92f86f1d993c8a3194168.jpg,portrait-purebred-bengal-cat-on-260nw-112438160_jpg.rf.8390297246d92f86f1d993c8a3194168.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,8.12890625,True
data\test\cat - bengal\rosetted-bengal-cat-laying-isolated-260nw-1923867203_jpg.rf.ae91723fb42f571639c672a2bbcd3134.jpg,rosetted-bengal-cat-laying-isolated-260nw-1923867203_jpg.rf.ae91723fb42f571639c672a2bbcd3134.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,6.21484375,True
data\test\cat - birman\Birman_116_jpg.rf.2f4bbfddb5e5eb38024718f78a322626.jpg,Birman_116_jpg.rf.2f4bbfddb5e5eb38024718f78a322626.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,7.546875,True
data\test\cat - birman\Birman_135_jpg.rf.a497cfa07235357ccbc6be612dbd8394.jpg,Birman_135_jpg.rf.a497cfa07235357ccbc6be612dbd8394.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,8.5869140625,True
data\test\cat - birman\Birman_140_jpg.rf.69ceca77d34e803ff700c93218e55eca.jpg,Birman_140_jpg.rf.69ceca77d34e803ff700c93218e55eca.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,6.3251953125,True
data\test\cat - birman\Birman_146_jpg.rf.5db3eea8089e663af8e21478cba7d6d8.jpg,Birman_146_jpg.rf.5db3eea8089e663af8e21478cba7d6d8.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,14.3896484375,True
data\test\cat - birman\Birman_160_jpg.rf.f179ea53de67ebead1a60411793da7b5.jpg,Birman_160_jpg.rf.f179ea53de67ebead1a60411793da7b5.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,5.625,True
data\test\cat - birman\Birman_164_jpg.rf.f1af6e7f66881d704e089071beb62535.jpg,Birman_164_jpg.rf.f1af6e7f66881d704e089071beb62535.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,7.22265625,True
data\test\cat - birman\Birman_167_jpg.rf.91a400e39e8633b65df435205caeabe3.jpg,Birman_167_jpg.rf.91a400e39e8633b65df435205caeabe3.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,9.1142578125,True
data\test\cat - birman\Birman_176_jpg.rf.7af19ac8bf7fdeae56df8f7dbbe361d2.jpg,Birman_176_jpg.rf.7af19ac8bf7fdeae56df8f7dbbe361d2.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,6.5498046875,True
data\test\cat - birman\Birman_17_jpg.rf.56b25fbfd9c3055c7299202622d150e2.jpg,Birman_17_jpg.rf.56b25fbfd9c3055c7299202622d150e2.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,12.5146484375,True
data\test\cat - birman\Birman_18_jpg.rf.1869e62a098dd3d7eb484c9eb67e0b6c.jpg,Birman_18_jpg.rf.1869e62a098dd3d7eb484c9eb67e0b6c.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,8.1943359375,True
data\test\cat - birman\Birman_1_jpg.rf.669c80fdf38d169629267cc621fa7410.jpg,Birman_1_jpg.rf.669c80fdf38d169629267cc621fa7410.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,6.7109375,True
data\test\cat - birman\Birman_38_jpg.rf.0a602c77845a790a15ae38002fa0e44f.jpg,Birman_38_jpg.rf.0a602c77845a790a15ae38002fa0e44f.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,6.5595703125,True
data\test\cat - birman\Birman_58_jpg.rf.be6c476bc0476cfc421d1e5083efe6be.jpg,Birman_58_jpg.rf.be6c476bc0476cfc421d1e5083efe6be.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,7.634765625,True
data\test\cat - birman\Birman_6_jpg.rf.d7e087ed0a49b50ad98cf773f357ec0d.jpg,Birman_6_jpg.rf.d7e087ed0a49b50ad98cf773f357ec0d.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,10.32421875,True
data\test\cat - birman\Birman_70_jpg.rf.7d92ae9df56336716ad9b37709a82a20.jpg,Birman_70_jpg.rf.7d92ae9df56336716ad9b37709a82a20.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,9.16015625,True
data\test\cat - birman\Birman_75_jpg.rf.fab81c227e858e9c27f3c59ec737add4.jpg,Birman_75_jpg.rf.fab81c227e858e9c27f3c59ec737add4.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,7.1123046875,True
data\test\cat - birman\Birman_89_jpg.rf.5dbcaa5bff0ba32d0a26363fc131a156.jpg,Birman_89_jpg.rf.5dbcaa5bff0ba32d0a26363fc131a156.jpg,test,cat - birman,cat,224,224,1.0,RGB,JPEG,11.1875,True
data\test\cat - bombay\Bombay_101_jpg.rf.4d2a1e87963bb9d7c56fe308d77c23dc.jpg,Bombay_101_jpg.rf.4d2a1e87963bb9d7c56fe308d77c23dc.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,4.8330078125,True
data\test\cat - bombay\Bombay_113_jpg.rf.321bcffae22fe671b6601a2583ab21df.jpg,Bombay_113_jpg.rf.321bcffae22fe671b6601a2583ab21df.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,7.8544921875,True
data\test\cat - bombay\Bombay_138_jpg.rf.321f076cb68a5d9ded53a621989aca7e.jpg,Bombay_138_jpg.rf.321f076cb68a5d9ded53a621989aca7e.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,6.8125,True
data\test\cat - bombay\Bombay_139_jpg.rf.bfdb8103af5fdef71910df5733014cba.jpg,Bombay_139_jpg.rf.bfdb8103af5fdef71910df5733014cba.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,5.08984375,True
data\test\cat - bombay\Bombay_148_jpg.rf.7828f0aa710bf95dd4f9d675e8c9b745.jpg,Bombay_148_jpg.rf.7828f0aa710bf95dd4f9d675e8c9b745.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,10.298828125,True
data\test\cat - bombay\Bombay_150_jpg.rf.7801e60775e19fcd0ac4f809a4e26014.jpg,Bombay_150_jpg.rf.7801e60775e19fcd0ac4f809a4e26014.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,7.5517578125,True
data\test\cat - bombay\Bombay_164_jpg.rf.f16ec2dcdd1ec9d20eeba170dee74509.jpg,Bombay_164_jpg.rf.f16ec2dcdd1ec9d20eeba170dee74509.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,7.0537109375,True
data\test\cat - bombay\Bombay_34_jpg.rf.f195c3d15c0e0d1b9b8c680aca2b8fd5.jpg,Bombay_34_jpg.rf.f195c3d15c0e0d1b9b8c680aca2b8fd5.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,6.7353515625,True
data\test\cat - bombay\Bombay_45_jpg.rf.208810db491901dfcee58415db82a9a7.jpg,Bombay_45_jpg.rf.208810db491901dfcee58415db82a9a7.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,7.5625,True
data\test\cat - bombay\Bombay_59_jpg.rf.6598c8f5490d152f8e3adf63a89c09b7.jpg,Bombay_59_jpg.rf.6598c8f5490d152f8e3adf63a89c09b7.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,9.80859375,True
data\test\cat - bombay\Bombay_88_jpg.rf.3656be9a738bf4be5f54298c3578bbd0.jpg,Bombay_88_jpg.rf.3656be9a738bf4be5f54298c3578bbd0.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,5.8173828125,True
data\test\cat - bombay\Bombay_8_jpg.rf.e06647f774bd21ae8d2c4d179980a56f.jpg,Bombay_8_jpg.rf.e06647f774bd21ae8d2c4d179980a56f.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,9.7978515625,True
data\test\cat - bombay\Bombay_91_jpg.rf.6d09bab8737d44f3bcbb9c0dd6694c49.jpg,Bombay_91_jpg.rf.6d09bab8737d44f3bcbb9c0dd6694c49.jpg,test,cat - bombay,cat,224,224,1.0,RGB,JPEG,6.2734375,True
data\test\cat - british shorthair\British_Shorthair_107_jpg.rf.09d1efe54a30b20d2cf4fd31bf3c34ed.jpg,British_Shorthair_107_jpg.rf.09d1efe54a30b20d2cf4fd31bf3c34ed.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,9.7451171875,True
data\test\cat - british shorthair\British_Shorthair_140_jpg.rf.e9d413e7ac5f76e616e6f50a4314ee35.jpg,British_Shorthair_140_jpg.rf.e9d413e7ac5f76e616e6f50a4314ee35.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,11.2783203125,True
data\test\cat - british shorthair\British_Shorthair_162_jpg.rf.df5f8701cebb8211104a026ddf9de383.jpg,British_Shorthair_162_jpg.rf.df5f8701cebb8211104a026ddf9de383.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,6.5712890625,True
data\test\cat - british shorthair\British_Shorthair_183_jpg.rf.dc150bd8e1f6bc4f99875e2abe7b2cc2.jpg,British_Shorthair_183_jpg.rf.dc150bd8e1f6bc4f99875e2abe7b2cc2.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,10.353515625,True
data\test\cat - british shorthair\British_Shorthair_18_jpg.rf.7bd4df0f3bcb1673d45b6876d15198ec.jpg,British_Shorthair_18_jpg.rf.7bd4df0f3bcb1673d45b6876d15198ec.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,12.0146484375,True
data\test\cat - british shorthair\British_Shorthair_248_jpg.rf.93ee642060c9f335eaa06a935e1555e7.jpg,British_Shorthair_248_jpg.rf.93ee642060c9f335eaa06a935e1555e7.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,9.4912109375,True
data\test\cat - british shorthair\British_Shorthair_273_jpg.rf.51bdaaba030412e4bd021780a1a5b652.jpg,British_Shorthair_273_jpg.rf.51bdaaba030412e4bd021780a1a5b652.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,6.923828125,True
data\test\cat - british shorthair\British_Shorthair_3_jpg.rf.e7d4a7c385ba123884bd690c685dff34.jpg,British_Shorthair_3_jpg.rf.e7d4a7c385ba123884bd690c685dff34.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,5.81640625,True
data\test\cat - british shorthair\British_Shorthair_6_jpg.rf.598bf1ddc4f71e1ca157e890120c1629.jpg,British_Shorthair_6_jpg.rf.598bf1ddc4f71e1ca157e890120c1629.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,4.9345703125,True
data\test\cat - british shorthair\British_Shorthair_84_jpg.rf.f2d3fac278abe4b627160391486ee9ce.jpg,British_Shorthair_84_jpg.rf.f2d3fac278abe4b627160391486ee9ce.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,10.0966796875,True
data\test\cat - british shorthair\British_Shorthair_85_jpg.rf.c21e7c02c61b44007c9f946c85810bc1.jpg,British_Shorthair_85_jpg.rf.c21e7c02c61b44007c9f946c85810bc1.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,8.3896484375,True
data\test\cat - british shorthair\British_Shorthair_97_jpg.rf.c297a92346142d1f138efdec1cd04172.jpg,British_Shorthair_97_jpg.rf.c297a92346142d1f138efdec1cd04172.jpg,test,cat - british shorthair,cat,224,224,1.0,RGB,JPEG,8.2607421875,True
data\test\cat - egyptian mau\Egyptian_Mau_101_jpg.rf.9d3fd78b9d86789cda124c7e418764a2.jpg,Egyptian_Mau_101_jpg.rf.9d3fd78b9d86789cda124c7e418764a2.jpg,test,cat - egyptian mau,cat,224,224,1.0,RGB,JPEG,8.0771484375,True
